disease_name,species,symptoms,causes,home_care,vet_urgent
Ear Mites,猫,"频繁抓挠耳朵, 剧烈摇头, 耳道深褐色分泌物（类似咖啡渣）, 耳部脱毛, 耳廓血肿, 耳道发炎",由耳螨（Otodectes cynotis）寄生引起，高度传染性，主要通过患病动物直接接触传播。,避免自行使用棉签深入清洁耳道，可定期使用兽医推荐的洗耳液清洁外耳廓可见分泌物；严格隔离患病猫，防止传染其他宠物；保持环境清洁，定期消毒宠物用品。,是
Intestinal Parasites,猫,"腹泻,呕吐,体重减轻,腹部肿胀,粪便带血或粘液,肛门周围瘙痒,可见虫体（如绦虫节片）,食欲不振",寄生虫感染（常见有蛔虫、钩虫、绦虫、鞭虫、球虫、贾第虫等）。感染途径包括摄入被虫卵污染的环境（如土壤、水）、摄入感染的中间宿主（如跳蚤、啮齿动物）、母体传播（胎盘或乳汁）,"保持环境清洁卫生（及时清理粪便并消毒猫砂盆）,防止猫接触可能被污染的环境或中间宿主,按兽医建议进行定期预防性驱虫,避免喂食生肉或未处理水源。切勿自行购买驱虫药使用，需遵医嘱",是
Obesity,猫,"体重明显增加,腹部脂肪堆积,活动力下降,呼吸困难,梳理毛发困难",能量摄入超过消耗（过度喂食、缺乏运动）、绝育后代谢变化、品种倾向（如英国短毛猫易发）、甲状腺功能减退等疾病继发,严格控制饮食热量（改用减肥处方粮）、定时定量喂食、增加互动玩耍时间、提供攀爬架等运动设施、定期监测体重变化,否
Arthritis,猫,"跛行,活动减少或僵硬（尤其在休息后）,跳跃困难或跳跃高度降低,关节肿胀或触摸敏感,梳理毛发减少（因疼痛）,行为改变（如躲藏或易怒）",主要病因包括退行性关节病（骨关节炎，最常见，与年龄和关节磨损有关）、感染（如细菌性关节炎）、创伤（如骨折或韧带损伤）、免疫介导性疾病（如类风湿性关节炎）以及发育异常（如髋关节发育不良）,家庭护理建议：保持理想体重以减轻关节负担，提供柔软温暖的休息场所（如加热垫），使用缓坡或台阶帮助其到达高处，鼓励进行温和、规律的低强度活动（如短时间玩耍），避免在硬地板上滑倒，绝对不要自行使用人用止痛药（对猫有毒）,否
Heartworm Disease,猫,"咳嗽,呼吸困难,呕吐,体重减轻,嗜睡,突然死亡",被感染心丝虫的蚊子叮咬,"严格室内饲养以减少蚊虫叮咬风险,定期进行兽医检查",是
Inflammatory Bowel Disease,猫,"慢性呕吐,腹泻,体重下降,食欲减退,腹部不适,嗜睡",免疫系统异常反应导致肠道慢性炎症，可能与遗传因素、肠道菌群失衡、食物过敏或慢性感染有关,严格遵循兽医处方饮食（如水解蛋白或低敏粮），少食多餐，避免突然换粮；按时给予药物；监测症状变化；减少环境压力,是
Hypertrophic Cardiomyopathy,猫,"呼吸困难, 活动能力下降/嗜睡, 后肢突然瘫痪（血栓导致）, 食欲减退, 昏厥",遗传因素,限制剧烈运动，避免应激环境（如噪音、陌生访客），严格按兽医处方给药，定期复查,是
Canine Distemper,狗,"发热,眼鼻分泌物增多,咳嗽,呕吐,腹泻,食欲不振,抽搐或神经症状",犬瘟热病毒感染（经空气或接触传播）,"立即隔离病犬,加强营养支持,保持环境清洁温暖,避免与其他动物接触",是
Canine Parvovirus,狗,"呕吐,腹泻（常带血）,食欲不振,嗜睡,脱水",犬细小病毒感染,此病无法自行处理，需立即就医。就医前保持狗狗温暖、安静，可尝试提供少量易消化食物（如兽医许可），但主要依赖专业治疗,是
Heartworm Disease,狗,"咳嗽（尤其在运动后）, 呼吸困难, 运动不耐受, 体重下降, 腹部肿胀（腹水）",由蚊子叮咬传播的心丝虫（Dirofilaria immitis）幼虫引起,严格遵循兽医制定的治疗计划；在治疗期间限制剧烈运动；提供安静休息环境；定期给予预防药物（至关重要）；保持环境清洁减少蚊虫滋生；密切观察症状变化,是
Kennel Cough (Canine Infectious Tracheobronchitis),狗,"干咳（类似呛到）, 打喷嚏, 流鼻涕, 呕吐, 食欲不振, 精神萎靡",病毒感染（如犬副流感病毒、犬腺病毒）或细菌感染（如支气管败血波氏杆菌）引起，具有高度传染性，通过空气飞沫或接触传播。,保持环境温暖、湿润、无刺激物（如烟雾），确保充足饮水，提供易消化食物，限制剧烈运动。,是
Lyme Disease,狗,"发烧,食欲不振,关节肿胀疼痛,跛行（可能轮流出现）,淋巴结肿大,嗜睡",由伯氏疏螺旋体引起，通过被感染的蜱虫叮咬传播,定期使用兽医推荐的驱蜱产品，每日检查宠物身体并安全移除蜱虫，保持庭院清洁减少蜱虫滋生,是
Leptospirosis,狗,"发烧,呕吐,腹泻,脱水,黄疸,嗜睡,食欲不振,腹痛",钩端螺旋体细菌感染，通常通过接触受污染的水源（如积水、池塘）或感染动物的尿液传播,此病无法在家处理！必须立即寻求兽医治疗。治疗期间严格遵循兽医指导用药、补液及营养支持。隔离病犬，处理其排泄物时佩戴手套，环境彻底消毒（因该病为人畜共患病）,是
Rabies,狗,"行为改变（如异常安静或烦躁）, 发热, 流涎过多, 吞咽困难, 恐水症（怕水）, 攻击性行为, 瘫痪, 呼吸困难",被携带狂犬病毒的动物（如其他犬、猫、蝙蝠、浣熊等）咬伤或抓伤，病毒通过唾液进入伤口,**极其重要：如果怀疑狗感染狂犬病，请立即隔离动物，避免任何接触（包括抚摸），防止被咬伤或抓伤。立即联系当地动物控制机构或公共卫生部门。** 狂犬病无法在家护理，必须由专业机构处理。,是
Canine Infectious Hepatitis,狗,"发烧,食欲不振,精神萎靡,呕吐,腹泻,腹痛,角膜水肿（蓝眼症）,黄疸",由犬腺病毒1型（CAV-1）感染引起,"严格隔离病犬防止传播,提供安静舒适环境,确保充足饮水以防脱水,按兽医处方给药",是
Ringworm,狗,"圆形脱毛斑,皮肤发红,鳞屑,瘙痒,皮肤结痂",真菌感染（通常为犬小孢子菌）,"隔离患病犬防止传染,彻底清洁消毒环境（尤其织物）,避免抓挠（可戴伊丽莎白圈）,严格遵医嘱用药",是
Flea Allergy Dermatitis,狗,"剧烈瘙痒,频繁抓挠或啃咬皮肤,皮肤发红或发炎,脱毛,皮肤结痂或增厚,继发细菌感染",狗对跳蚤唾液中的过敏原产生过敏反应。,"使用兽医处方的有效跳蚤预防产品控制跳蚤,定期梳理毛发检查跳蚤,使用温和的药用香波洗澡缓解症状,防止狗过度抓挠（如使用伊丽莎白圈）,保持家居环境清洁（吸尘、清洗寝具）。",是
Atopic Dermatitis,狗,"剧烈瘙痒,皮肤发红,抓挠频繁,舔咬爪子和腹股沟,脱毛,皮肤增厚或色素沉着,耳部感染反复发作",对环境过敏原（如花粉、尘螨、霉菌）的过敏反应，通常有遗传易感性,减少接触已知过敏原（如保持环境清洁、使用空气净化器），定期用低敏洗护剂洗澡，防止过度舔咬（可穿防护服），补充必需脂肪酸（如欧米伽-3）可能有一定帮助，但需注意家庭护理无法根治,否
Food Allergies,狗,"皮肤瘙痒,反复耳炎,皮肤发红或皮疹,呕吐,腹泻,胃肠胀气,体重下降",对食物中特定成分（如牛肉、鸡肉、乳制品、小麦、大豆、鸡蛋、玉米等）的免疫系统异常反应,严格遵循兽医制定的低敏处方饮食，完全避免喂食零食/人类食物；定期清洁患处皮肤并保持干燥，使用低敏洗护产品；记录饮食日志以追踪过敏原,否
Otitis Externa,狗,"耳道发红肿胀,耳内分泌物增多（可能为脓性、蜡状或有异味）,频繁摇头,抓挠耳朵,耳部疼痛敏感,头部倾斜,听力下降",常见病因包括过敏反应（食物、环境过敏原）、寄生虫感染（如耳螨）、异物进入耳道（如草籽）、细菌或酵母菌感染、耳道结构异常（如垂耳品种）以及过度清洁或潮湿环境。,切勿自行用药，避免过度清洁耳道以防损伤。可轻柔擦拭外耳可见污垢，保持耳部干燥，防止宠物抓挠（可佩戴伊丽莎白圈）。但最重要的家庭护理是及时带宠物就医。,是
Periodontal Disease,狗,"口臭,牙龈红肿,牙齿松动,咀嚼困难,流口水,食欲减退",牙菌斑和牙结石积累导致牙龈发炎感染,"每日刷牙,使用宠物漱口水,提供洁牙玩具,喂食专业洁牙粮",否
Obesity,狗,"体重明显增加,腹部下垂呈梨形,肋骨不易触摸,活动量减少,容易疲劳或呼吸困难,关节问题",热量摄入超过消耗（通常因饮食过量、缺乏运动、遗传因素等导致）,"严格控制每日食量（改用减肥处方粮或减少普通粮）,增加规律性运动（如散步、游戏）,杜绝零食和高热量人类食物,定期监测体重",否
Hypothyroidism,狗,"嗜睡,体重增加但食欲可能正常,毛发干燥或对称性脱毛（常见于躯干、尾部和耳部）,皮肤色素沉着加深,皮肤增厚或皮屑增多,怕冷",原发性甲状腺功能减退，通常由甲状腺自身免疫性破坏（淋巴细胞性甲状腺炎）或特发性甲状腺萎缩引起。,严格按兽医处方给予甲状腺激素替代药物（如左旋甲状腺素），不可自行调整剂量。定期复诊监测血液中甲状腺激素水平和药物反应。提供温暖舒适的环境。,否
Cushing's Disease,狗,"多饮多尿,腹部膨大,对称性脱毛,皮肤变薄变黑,嗜睡,肌肉无力",主要病因包括垂体依赖性（垂体肿瘤导致促肾上腺皮质激素分泌过多）和肾上腺依赖性（肾上腺肿瘤自主分泌过多皮质醇）,严格按兽医处方给药（如曲洛司坦或米托坦），定期复诊监测激素水平和肝肾功能，提供易饮水环境，避免皮肤损伤,是
Pancreatitis,狗,"呕吐,腹泻,腹痛（常表现为拱背姿势）,食欲不振,脱水",主要病因包括高脂饮食、肥胖、某些药物以及遗传易感性（某些品种更易患病）。,严格遵循兽医的用药和饮食指导（通常需要喂食兽医推荐的低脂处方粮），提供少量多次的易消化食物，确保充足的清洁饮水。,是
Inflammatory Bowel Disease,狗,"慢性呕吐,慢性腹泻,体重下降,食欲不振或增加,腹部不适",免疫系统介导的肠道慢性炎症反应，具体原因常不明确，可能与遗传、饮食、肠道菌群失衡或感染有关,严格遵循兽医制定的饮食方案（如低过敏处方粮或水解蛋白粮），避免喂食零食或人类食物，记录症状变化,是
Osteoarthritis,狗,"活动减少,起身困难或僵硬,跛行或步态异常,关节肿胀或压痛,过度舔舐关节,肌肉萎缩",主要病因是关节软骨的退行性病变。常见原因包括年龄增长（老年犬多发）、肥胖、先天发育异常（如髋关节发育不良）、关节损伤或创伤、长期过度使用关节等。,"保持理想体重减轻关节负担,提供适度低冲击运动（如游泳）,确保休息环境温暖舒适,使用柔软防滑的垫子,避免在光滑地面行走,可考虑兽医推荐的营养补充剂（如葡萄糖胺和软骨素）",否
Avian Influenza,鸟,"呼吸困难,咳嗽,打喷嚏,腹泻,头部震颤,羽毛蓬乱,食欲减退,产蛋量下降",禽流感病毒感染,立即隔离病鸟，彻底消毒环境，避免接触其他鸟类或动物。严禁自行用药，需联系专业兽医处理。,是
Newcastle Disease,鸟,"呼吸困难,绿色腹泻,颈部扭曲,翅膀下垂,嗜睡,食欲减退",副黏病毒感染（高度传染性病毒）,"立即隔离病鸟,加强消毒,提供安静温暖环境,确保饮水,但必须尽快就医",是
Infectious Bronchitis,鸟,"咳嗽,打喷嚏,呼吸困难,啰音,产蛋下降,蛋壳质量差,精神沉郁,食欲减退",禽冠状病毒感染,立即隔离病鸟，保持环境温暖、清洁、通风良好，提供易消化营养食物和清洁饮水，避免应激，密切观察症状变化,是
Duck Viral Hepatitis,鸟,"突然死亡,精神沉郁,食欲减退,腹泻,头颈后仰（角弓反张）,运动失调",鸭肝炎病毒感染（主要影响幼鸭）,"立即隔离病鸭,加强消毒（禽舍、用具）,提供清洁饮水和易消化饲料,保持环境安静温暖",是
Avian Pox,鸟,"皮肤结节或结痂,口腔或咽喉病变,吞咽困难,呼吸困难,眼部感染,嗜睡,食欲不振,体重下降",由禽痘病毒引起，主要通过蚊虫叮咬传播，也可通过直接接触病鸟或受污染的环境传播。,隔离病鸟，防止传播；保持环境清洁卫生；提供营养丰富的食物和清洁饮水；减少应激；但需注意，此病无法在家自行治愈，兽医护理至关重要。,是
Lymphoproliferative Disease,鸟,"体表肿块,体重下降,精神萎靡,呼吸困难,腹泻,腹部肿大",主要由疱疹病毒科的马立克氏病病毒引起,"保持环境清洁卫生,提供营养支持,隔离病鸟,但家庭护理无法治愈,需兽医治疗",是
Fowl Cholera,鸟,"突然死亡,高烧,羽毛蓬乱,呼吸困难,腹泻（可能带血）,口腔黏液增多,肉髯肿胀,关节炎",多杀性巴氏杆菌感染,严格隔离病鸟，彻底消毒环境与用具，提供清洁饮水。但必须立即就医，家庭护理无法替代专业治疗。,是
Pullorum Disease,鸟,"精神沉郁,食欲不振,白色下痢便,呼吸困难,关节肿胀",沙门氏菌感染，通常经卵传播或接触传播,立即隔离病鸟，彻底清洁消毒环境，无法自行治疗,是
Colibacillosis,鸟,"腹泻, 精神萎靡, 食欲不振, 羽毛蓬乱, 呼吸困难, 脱水",由致病性大肠杆菌感染引起，通常通过受污染的食物、水或环境传播，幼鸟和免疫力低下的个体易感,立即隔离病鸟，提供清洁饮水和易消化食物（如电解质溶液），保持环境温暖干燥并彻底消毒笼具,是
Infectious Coryza,鸟,"面部肿胀,鼻腔分泌物,打喷嚏,呼吸困难,结膜炎,食欲下降,产蛋量减少",副鸡嗜血杆菌（Haemophilus paragallinarum）感染,立即隔离病鸟，保持环境温暖清洁，提供易消化食物和清洁饮水，避免应激。但需注意家庭护理不能替代抗生素治疗,是
Mycoplasmosis,鸟,"打喷嚏,流鼻涕,眼部分泌物增多,结膜炎,呼吸困难,食欲不振,精神萎靡",支原体细菌感染,"提供温暖无风的环境,确保充足饮水,提供易消化食物,保持笼具清洁",是
Coccidiosis,鸟,"腹泻（可能带血）, 体重减轻, 食欲不振, 羽毛蓬乱, 精神萎靡",感染艾美耳球虫属寄生虫引起，通常通过摄入被卵囊污染的食物或水传播,隔离病鸟，保持笼具清洁干燥并彻底消毒，提供易消化的食物和充足清洁饮水。但家庭护理不能替代兽医治疗,是
Capillariasis,鸟,"体重减轻,腹泻,呕吐,食欲不振,羽毛蓬乱,精神萎靡",毛细线虫属寄生虫感染消化道,立即隔离病鸟，彻底清洁消毒饲养环境，避免自行用药,是
Histomoniasis,鸟,"精神沉郁,食欲不振,腹泻（绿色粪便）,肝脏坏死灶,盲肠肿大栓塞",组织滴虫原虫感染（通常通过异刺线虫卵传播）,严格隔离病鸟，彻底消毒环境及器具，提供清洁饮水。,是
Mite Infestation,鸟,"羽毛脱落,瘙痒,皮肤发红或结痂,过度梳理羽毛,烦躁不安",寄生虫感染（主要是螨虫）,"隔离患病鸟类,彻底清洁并消毒笼舍及周边环境,移除无法彻底消毒的物品",是
Tapeworm Infection,鸟,"体重减轻,腹泻,呕吐,羽毛蓬乱,嗜睡,粪便中可见绦虫节片",鸟类摄食携带绦虫幼虫的中间宿主（如昆虫、蜗牛）,保持环境清洁卫生，避免接触中间宿主；定期消毒笼具及食具；提供营养均衡饮食增强抵抗力,是
Lice Infestation,鸟,"羽毛异常脱落或变色,频繁抓挠或啄咬皮肤,烦躁不安,皮肤炎症或结痂,贫血迹象（严重时）",寄生虫感染（虱子寄生）,"立即隔离感染鸟类,彻底清洁并消毒笼具及环境,提供营养补充增强抵抗力",是
Aspergillosis,鸟,"呼吸困难,食欲不振,精神沉郁,嗜睡,鼻腔分泌物,体重减轻",吸入环境中霉菌孢子（主要为烟曲霉菌），常见于免疫力低下或长期暴露于潮湿发霉环境（如变质垫料、种子）的鸟类,立即移除发霉物品，彻底清洁消毒笼具与环境，保持干燥通风，提供高营养易消化食物，避免使用霉变饲料,是
Candidiasis,鸟,"食欲不振,呕吐,腹泻,体重下降,口腔内白色斑块或伪膜",由白色念珠菌等真菌过度生长引起的感染。常见诱因包括长期使用抗生素、免疫力低下、营养不良、环境潮湿肮脏或应激。,"保持笼舍清洁干燥并彻底消毒,提供营养均衡的饮食增强免疫力,将病鸟与其他鸟类隔离以防传播。",是
Ascites,鸟,"腹部肿胀,呼吸困难,活动减少,食欲下降,精神萎靡","心脏、肝脏或肾脏疾病导致体液积聚,低蛋白血症,腹腔内肿瘤或感染","提供安静温暖的休息环境,减少活动,给予易消化食物,避免应激",是
Rabbit Hemorrhagic Disease,兔,"突然死亡,发热,呼吸困难,精神萎靡,食欲不振,鼻腔或口腔出血",兔杯状病毒感染,"立即隔离患病兔子,加强环境消毒,提供安静舒适环境,但无法自行治疗",是
Myxomatosis,兔,"眼睑肿胀,结膜炎,耳朵肿块,生殖器周围肿块,呼吸困难,食欲不振",粘液瘤病毒感染（主要通过蚊虫叮咬传播）,立即隔离病兔，提供温暖安静环境，强制喂食流质食物，但必须立即就医,是
Pasteurellosis,兔,"打喷嚏,流鼻涕,呼吸困难,结膜炎,脓肿,歪头症（斜颈）,精神沉郁,食欲不振,败血症",巴氏杆菌（主要是多杀性巴氏杆菌）感染。该细菌常存在于兔的上呼吸道，在应激、免疫力下降或环境变化时可能引发疾病。,保持环境清洁、干燥、通风良好；减少应激因素；提供营养均衡的饮食和清洁饮水；隔离病兔防止传染。但家庭护理无法替代专业兽医治疗。,是
Snuffles,兔,"打喷嚏, 流鼻涕（可能为脓性）, 眼部分泌物（可能为脓性）, 呼吸急促, 呼吸困难, 用前爪擦拭鼻子, 食欲不振",细菌感染，最常见的是巴氏杆菌,保持环境清洁、温暖、通风良好；提供充足新鲜饮水；提供营养丰富的食物以维持体力；尽量减少环境压力源,是
Enteritis,兔,"腹泻,食欲不振,精神萎靡,脱水,腹部疼痛","细菌感染(如大肠杆菌、沙门氏菌),寄生虫感染(如球虫),饮食不当(突然改变饲料、高糖食物),应激","提供充足清洁饮水防止脱水,保持环境清洁温暖安静,暂时只提供干草(提摩西草),停止给予新鲜蔬果及零食",是
Enterotoxemia,兔,"腹泻（可能带血）, 腹胀, 精神沉郁, 食欲不振, 脱水, 体温低, 可能突然死亡",由肠道内产气荚膜梭菌（主要是C型）过度繁殖并产生毒素引起。诱因包括：饮食突然改变（特别是高碳水化合物、低纤维食物）、抗生素使用不当、应激、其他疾病导致肠道蠕动减慢,**此病进展迅速且致命，家庭护理无效。** 发现疑似症状，唯一能做的就是立即带兔子就医。,是
Coccidiosis,兔,"腹泻（可能带血）, 体重下降, 食欲减退, 脱水, 腹部胀大, 精神沉郁, 被毛杂乱",由艾美耳球虫属（Eimeria spp.）原虫寄生在肠道或肝脏引起，通过摄入被孢子化卵囊污染的食物、饮水或环境传播。卫生条件差、拥挤环境易诱发。,严格保持环境干燥清洁，每日清理粪便并用热水或专用消毒剂消毒笼具；提供新鲜饮水及优质牧草，避免食物被污染；将病兔隔离饲养，提供温暖安静的休息环境。注意：家庭护理仅为辅助，不能替代药物治疗。,是
Ear Mites,兔,"剧烈瘙痒,频繁摇头,耳道内大量深棕色/蜡状分泌物,耳廓结痂或脱毛,耳部疼痛或敏感",由寄生螨虫（主要是兔痒螨）感染引起，具有高度传染性。,严格隔离病兔；彻底清洁并消毒笼具、食具及环境（重点清除痂皮）；避免自行使用未经兽医指导的药物或清洁剂处理耳道；防止病兔抓挠加重损伤。,是
Encephalitozoonosis,兔,"头部倾斜（歪头症）, 眼球震颤, 共济失调（失去平衡）, 尿失禁, 癫痫发作, 瘫痪, 多饮多尿（肾脏损伤）",由脑孢子虫感染引起,"提供安全、低矮的环境防止摔伤, 确保充足的食物和饮水, 保持环境清洁干燥, 必要时辅助喂食和清洁",是
Malocclusion,兔,"进食困难,流涎,体重下降,面部肿胀,过度磨牙",遗传因素或饮食中纤维不足导致牙齿异常生长,"提供充足干草促进自然磨损,确保饮食柔软易咀嚼,定期检查口腔",是
Gastric Stasis,兔,"食欲减退或废绝, 排便减少或停止, 腹部胀气, 精神沉郁, 脱水",主要病因包括饮食不当（如低纤维、高碳水化合物）、应激、牙齿问题导致进食困难、缺乏运动、疼痛或其他潜在疾病。,提供大量新鲜干草（提摩西草）、确保饮水充足、轻柔按摩腹部、鼓励轻微活动、保持环境温暖安静。,是
Hairball,兔,"食欲不振,排便减少或停止,精神萎靡,腹部胀气",兔子过度理毛时吞下大量毛发，在胃或肠道内堆积形成毛球,提供充足饮水，喂食化毛膏或新鲜菠萝汁（含天然酶），增加运动促进肠道蠕动,是
Urinary Calculi,兔,"排尿困难,血尿,尿量减少,食欲下降,磨牙,腹部疼痛,弓背",饮食不当（如高钙食物过多）、饮水不足、遗传因素、细菌感染,确保充足饮水（提供新鲜水源和湿蔬菜），调整饮食（减少高钙食物，增加高纤维牧草）,是
Uterine Adenocarcinoma,兔,"阴道分泌物（带血或脓性）, 腹部肿胀, 食欲减退, 体重下降, 尿频, 精神沉郁",主要与未绝育母兔体内长期雌激素刺激有关，高龄兔风险显著增加,无法通过家庭护理治愈，需立即就医。可提供安静环境、易消化食物及清洁饮水，避免应激,是
Abscesses,兔,"局部肿胀（可能发热）, 食欲减退, 活动减少, 伤口有分泌物",细菌感染（如巴氏杆菌）通过伤口入侵，或牙齿问题引发的颌下脓肿,保持环境清洁，防止兔子舔舐患处，切勿自行挤压脓肿。尽快就医是关键,是
Mange,兔,"皮肤结痂,脱毛,瘙痒,抓挠或摩擦患处,皮肤红肿",由疥螨或耳螨等寄生虫感染引起,立即隔离病兔，清洁并消毒环境及用品（避免使用刺激性化学品），避免自行用药（许多犬猫外用驱虫药对兔有毒），保持环境干燥清洁,是
Pododermatitis,兔,"足底红肿或溃疡,足部脱毛或结痂,跛行或不愿走动,患处疼痛,可能继发感染或脓肿",主要病因是足底长期受到不适当的压力或摩擦导致皮肤损伤和炎症。常见诱因包括：笼底材质不当（如铁丝笼）、笼内卫生条件差（潮湿、污秽）、兔子肥胖、缺乏运动空间、趾甲过长等。,立即更换柔软、干净、吸湿性好的垫料（如厚毛毯、草垫、宠物专用垫）；保持笼舍清洁、干燥、卫生；控制兔子体重；定期修剪趾甲；提供足够大的活动空间让兔子自由走动；避免让兔子在坚硬粗糙的地面活动。,是
Ulcerative Pododermatitis,兔,"脚底红肿,脱毛,溃疡或开放性伤口,感染流脓,疼痛跛行",笼底板材质不当（如铁丝网）导致摩擦损伤，笼内卫生条件差引发细菌感染，肥胖或缺乏运动增加足部压力,立即更换柔软垫料（如厚毛巾或专用软垫），保持笼内清洁干燥，控制体重并增加活动空间，避免硬质地面,是
Heat Stroke,兔,"呼吸急促或困难,体温升高,精神萎靡或昏迷,耳部或身体发烫,流口水,抽搐",高温高湿环境下（如夏季），兔笼通风不良、阳光直射、饮水不足，以及兔子自身汗腺不发达无法有效散热导致体温急剧升高。,立即将兔子移至阴凉通风处；用湿毛巾冷敷耳部、腹部或身体（避免冰敷以防休克）；提供少量凉水饮用（如能自主饮水）；持续监测体温和精神状态。,是
Tyzzer's Disease,兔,"突然腹泻（水样或带血）, 嗜睡, 食欲不振, 脱水, 腹部不适, 低体温",梭状芽孢杆菌感染,立即隔离病兔，提供温暖环境，确保饮水（可提供电解质水），保持环境清洁干燥，移除固体食物（需遵医嘱）。注意：家庭护理不能替代专业兽医治疗。,是
